Date,Open,High,Low,Close,Adj Close,Volume
2013-01-07,94.570000,95.669998,93.570000,95.190002,77.345764,23415900
2013-01-14,95.320000,97.620003,94.150002,97.620003,79.320229,25440300
2013-01-21,96.389999,97.739998,94.660004,95.580002,77.662651,28020100
2013-01-28,98.059998,99.699997,96.430000,99.489998,80.839661,41933400
2013-02-04,98.760002,99.099998,95.209999,96.849998,78.694565,24576900
2013-02-11,96.959999,97.500000,95.290001,95.610001,77.687035,18570200
2013-02-18,95.739998,96.370003,90.570000,91.540001,74.379951,25984800
2013-02-25,91.809998,93.160004,88.500000,91.360001,74.233704,31172700
2013-03-04,90.610001,91.279999,89.190002,90.510002,73.543068,28662000
2013-03-11,90.489998,91.519997,88.110001,88.830002,72.178009,31983600
2013-03-18,87.889999,90.019997,86.419998,87.480003,71.081062,34623200
2013-03-25,87.930000,87.980003,85.800003,86.970001,70.666664,21910400
2013-04-01,86.860001,86.940002,83.050003,84.599998,68.740936,38035400
2013-04-08,84.690002,87.000000,83.709999,85.050003,69.106583,35368900
2013-04-15,84.239998,84.330002,80.010002,80.430000,65.352638,40213600
2013-04-22,81.239998,85.080002,79.489998,84.680000,69.247925,51120900
2013-04-29,85.110001,87.480003,82.660004,86.980003,71.128777,42315000
2013-05-06,87.129997,90.690002,86.879997,88.620003,72.469910,36352500
2013-05-13,88.190002,88.489998,86.099998,87.669998,71.693031,34148900
2013-05-20,87.570000,89.089996,85.769997,86.209999,70.499100,27476500
2013-05-27,87.040001,87.389999,85.330002,85.800003,70.163826,20001200
2013-06-03,85.910004,86.470001,83.300003,84.650002,69.223389,31040700
2013-06-10,84.709999,85.279999,82.629997,83.870003,68.585548,26488800
2013-06-17,83.550003,85.290001,81.930000,83.120003,67.972221,30189700
2013-06-24,82.059998,83.430000,80.860001,82.489998,67.457039,33832000
2013-07-01,83.040001,83.589996,81.400002,82.139999,67.170822,16083900
2013-07-08,82.400002,87.269997,82.250000,87.169998,71.284157,27288600
2013-07-15,87.239998,89.000000,85.150002,85.650002,70.041168,36803400
2013-07-22,85.379997,86.550003,81.349998,82.059998,67.573204,43997200
2013-07-29,82.419998,84.809998,82.000000,84.300003,69.417755,32782800
